Method,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,TN,TN,TN,TN
Group,6,6,6,6,6,6,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,Overall,Overall,Overall,Overall,6,4,2,1
Sample,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,n,Median,Mean,Interquartile range,,,,
Dugesiidae (3),,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2.00,0.00,1,,,
Nereididae (6),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Tubificidae (2),3,,,,,1,,,,,,3,,,,,1,,2,8,,,,,18,2.5,3.00,1.75,,,,
Erpobdellidae (1),,,,,1,1,,,,2,,,,,,,,,,,,,,,4,1,1.33,0.50,,,,
Glossiphoniidae (2),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Haemadipsidae (5),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,
Ampullaridae (3),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Ancylidae (1),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Bithyniidae (3),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Lymnaeidae (1),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Physidae (2),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Planorbidae (2),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Thairidae (1),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Amphipoda (2),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Atyidae (6),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Copepoda (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Isopoda (1),,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1.00,0.00,,,,
Ostracoda (3),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Palaemonidae (7),,,,,,,,,,,,,,,,,,,1,,1,,,,2,1,1.00,0.00,,,,1
Parathelphusidae (9),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Amphipterygidae (10),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Calopterygidae (8),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Coenagrionidae (3),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Euphaeidae (9),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Platycnemididae (5),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Platystictidae (8),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Aeshnidae (9),,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1.00,0.00,,,,
Corduliidae (5),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,1,1
Gomphidae (8),,,1,,,,,,,,,,,,,,,,,,1,,,,2,1,1.00,0.00,,,,1
Libellulidae (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,1
Baetidae (7),,,,,,,,,,,,,,,,,,,2,2,1,2,,,7,2,1.75,0.25,,,,
Caenidae (7),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Heptageniidae (9),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Leptophlebiidae (10),,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1.00,0.00,,,,
Leuctridae (10),,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1.00,0.00,,,,
Perlidae (9),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Corixidae (10),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Gerridae (5),,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1.00,0.00,1,1,1,1
Helotrephidae (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Mesoveliidae (10),,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1.00,0.00,,1,,
Naucoridae (7),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Notonectidae (8),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Veliidae (7),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1
Sialidae (8),,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2.00,0.00,,,,
Calamoceratidae (9),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Ecnomidae (6),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Hydropsychidae (7),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,1
Hydroptilidae (6),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Leptoceridae (7),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Odontoceridae (10),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Philopotamidae (8),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1
Polycentropodidae (9),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Crambidae (5),,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1.00,0.00,,,,
Curculionidae (6),,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1.00,0.00,,,,
Dytiscidae (5),,,,,,,,,,,,,,,,,,,,,1,,1,,2,1,1.00,0.00,,,,
Hydraenidae (8),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Hydrophilidae (6),,,,,2,,,,,,,,,,,,1,,,,,,,,3,1.5,1.50,0.50,,,,
Scirtidae (8),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Athericidae (10),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Canacidae (6),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Ceratopogonidae (3),,,,,,,,,,,1,,,1,,,,,1,,,,,,3,1,1.00,0.00,,,,
Chironomidae (2),10,1,,2,3,,,,,3,,,3,3,2,,15,,,,,,,,42,3,4.67,1.00,1,,1,
Corethrellidae (10),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Culicidae (1),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Dolichopodidae (1),,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1.00,0.00,1,,,
Empididae (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Ephydridae (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Muscidae (6),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Psychodidae (2),,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1.00,0.00,1,,,
Simuliidae (7),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Syrphidae (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Tipulidae (3),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Collembola (5),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Acari (4),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Araneae,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,1
Unidentified oligochaeta genera,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1.00,0.00,,,,
Diptera pupae,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1.00,0.00,,,,
"Osphronemidae (Betta pugnax, Malayan Forest Betta)",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1
"Cyprinidae (Rasbora elegans, Two-spot Rasbora)",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,1
"Cyprinidae (Barbodes rhombeus, Indochinese spotted barb)",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1
"Cyprinidae (Danio albolineatus, Pearl Danio)",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,1
"Poeciliidae (Poecilia reticulata, Guppy)",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,
"Clariidae (Clarias batrachus, Common walking catfish)",,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1.00,0.00,,,,
"Hemiramphidae (Dermogenys collettei, Pygmy halfbeak)",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,
Copper cheeked frog (Chalcorana cf. labialis),,,,,,,,,,,,,,,,,,,1,,1,,1,,3,1,1.00,0.00,,1,,1
Total,13,2,1,6,7,2,0,0,0,6,2,3,3,4,2,0,21,0,7,11,5,2,3,3,103,,,,8,8,5,14
